pid,canonical_fail_count,compile_ok,runtime_fail_count,timeout_count,empty_output_count,compare_issue_suspected,notes
p02547,0,,0,0,0,False,
p02550,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02550/ac_sol.cpp
p02574,0,,0,0,0,False,
p02575,0,,0,0,0,False,
p02577,0,,0,0,0,False,
p02580,0,,0,0,0,False,
p02581,0,,0,0,0,False,
p02583,0,,0,0,0,False,
p02585,0,,0,0,0,False,
p02589,0,,0,0,0,False,
p02590,3,,3,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02590/ac_sol.cpp
p02594,0,,0,0,0,False,
p02598,0,,0,0,0,False,
p02599,0,,0,0,0,False,
p02616,0,,0,0,0,False,
p02623,0,,0,0,0,False,
p02626,0,,0,0,0,False,
p02635,0,,0,0,0,False,
p02636,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02636/ac_sol.cpp
p02638,0,,0,0,0,False,
p02641,0,,0,0,0,False,
p02652,0,,0,0,0,False,
p02653,0,,0,0,0,False,
p02659,0,,0,0,0,False,
p02669,12,,0,12,0,False,top_error=Command '['/data/bc/MyCatcher/build/cpp_bin/ac_sol_48a08d065b1cae25']' timed out after 2.0 seconds
p02670,45,,45,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02670/ac_sol.cpp
p02682,0,,0,0,0,False,
p02683,0,,0,0,0,False,
p02695,0,,0,0,0,False,
p02700,0,,0,0,0,False,
p02702,0,,0,0,0,False,
p02703,12,,11,1,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02703/ac_sol.cpp
p02709,0,,0,0,0,False,
p02715,0,,0,0,0,False,
p02716,0,,0,0,0,False,
p02718,0,,0,0,0,False,
p02726,0,,0,0,0,False,
p02728,0,,0,0,0,False,
p02730,0,,0,0,0,False,
p02732,0,,0,0,0,False,
p02733,0,,0,0,0,False,
p02737,15,,15,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p02737/ac_sol.cpp
p02756,0,,0,0,0,True,
p02757,0,,0,0,0,False,
p02758,0,,0,0,0,False,
p02760,0,,0,0,0,False,
p02761,0,,0,0,0,False,
p02766,0,,0,0,0,False,
p02767,0,,0,0,0,False,
