pid,fp_count,tp_count,oracle_wrong_count,found,no_majority,canonical_fail_count,oracle_wrong_and_found_count,oracle_wrong_and_no_majority_count
p03333,137,0,137,137,0,0,137,0
p03802,115,0,115,115,0,0,115,0
p02599,95,14,99,109,0,0,95,0
p02732,83,0,83,83,0,0,83,0
p03393,77,0,113,77,34,0,77,33
p04006,75,0,139,75,64,0,75,64
p03620,65,0,83,65,18,0,65,18
p03652,62,0,93,62,31,0,62,30
p03391,56,0,134,56,95,0,56,78
p03765,55,7,65,62,6,0,55,4
p03073,53,0,53,53,0,0,53,0
p03630,46,0,118,46,74,0,46,72
p03427,42,0,52,42,10,0,42,10
p03424,40,16,42,56,0,0,40,0
p03202,37,0,80,38,56,6,37,43
p03799,33,15,33,48,0,0,33,0
p02864,31,9,79,40,62,0,31,48
p03988,31,1,31,32,11,0,31,0
p03718,29,0,126,29,101,0,29,97
p02832,28,23,95,51,67,0,28,67
p03435,28,4,28,32,19,0,28,0
p02716,27,3,49,30,27,0,27,22
p03235,27,0,93,27,37,2,27,37
p03664,25,0,138,25,116,1,25,112
p02626,23,0,31,23,20,0,23,8
p02983,19,1,24,20,3,0,19,0
p03846,18,5,36,23,4,0,18,1
p02943,17,0,97,17,91,0,17,80
p03684,16,0,35,16,55,0,16,19
p04021,15,0,92,15,91,0,15,77
p03019,14,0,128,14,114,0,14,114
p03332,14,0,63,14,81,0,14,49
p02589,13,0,68,13,90,0,13,55
p02906,12,0,39,12,80,0,12,27
p03089,12,12,36,24,32,0,12,24
p03322,12,0,130,12,126,0,12,117
p03843,12,0,128,12,116,1,12,116
p02777,11,5,11,16,0,0,11,0
p03806,11,0,11,11,56,0,11,0
p03824,11,0,69,11,81,0,11,58
p02636,10,0,110,10,102,1,10,100
p02590,9,0,11,9,0,3,9,0
p03017,9,8,32,17,29,1,9,21
p03203,9,0,121,9,121,0,9,110
p03383,9,1,12,10,0,0,9,0
p04043,9,6,9,15,0,0,9,0
p02730,8,5,8,13,0,0,8,0
p02758,8,0,123,8,115,0,8,115
p02891,8,0,45,8,81,0,8,37
p03074,7,0,120,8,125,1,7,113
p03126,7,0,7,9,0,14,7,0
p03575,7,0,11,7,5,0,7,4
p02653,6,0,105,6,107,0,6,99
p02913,5,0,20,5,25,0,5,15
p03213,5,0,15,5,10,0,5,10
p03553,5,4,52,9,68,0,5,47
p03616,5,4,114,10,114,0,5,109
p04000,5,0,7,5,3,1,5,2
p02787,4,1,40,5,65,0,4,36
p03255,4,0,159,4,155,0,4,155
p03284,4,4,13,8,14,1,4,9
p03406,4,3,66,7,94,0,4,62
p03642,4,0,92,5,110,2,4,88
p02580,3,0,13,3,145,0,3,10
p02757,3,0,16,3,15,0,3,13
p02840,3,0,108,3,126,0,3,105
p03191,3,0,113,3,117,7,3,109
p03253,3,0,88,3,89,0,3,85
p03336,3,0,111,3,172,0,3,108
p03788,3,1,115,4,124,0,3,112
p03858,3,0,75,3,111,0,3,72
p03969,3,0,99,3,105,0,3,96
p02623,2,0,2,2,0,0,2,0
p02652,2,0,84,2,95,0,2,82
p02669,2,1,7,3,3,12,2,3
p02670,2,0,121,2,149,45,2,119
p02718,1,0,1,1,14,0,1,0
p02905,1,1,1,2,4,3,1,0
p03365,1,1,26,2,25,0,1,25
p03431,1,0,52,1,78,0,1,51
p03725,1,0,90,1,38,0,1,11
p03750,1,0,86,1,143,52,1,85
