pid,tests,found,agree,no_majority,no_variant_output,put_fail,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,category,report,detail_csv
p02547,177,11,166,0,0,0,11,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02547/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02547/detail.csv
p02550,145,9,79,54,3,0,9,0,14,1,1.0,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02550/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02550/detail.csv
p02574,124,101,23,0,0,0,101,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02574/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02574/detail.csv
p02575,129,0,0,129,0,0,0,0,98,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02575/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02575/detail.csv
p02577,93,10,83,0,0,0,10,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02577/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02577/detail.csv
p02580,148,3,0,145,0,0,0,3,13,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02580/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02580/detail.csv
p02581,140,0,5,135,0,0,0,0,63,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02581/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02581/detail.csv
p02583,100,0,100,0,0,0,0,0,0,0,,all_agree,/data/bc/MyCatcher/outputs/tcases/cpp/p02583/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02583/detail.csv
p02585,139,0,34,105,0,0,0,0,4,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02585/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02585/detail.csv
p02589,146,13,43,90,0,0,0,13,68,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02589/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02589/detail.csv
p02590,159,9,144,0,1,5,0,9,11,3,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02590/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02590/detail.csv
p02594,30,1,29,0,0,0,1,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02594/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02594/detail.csv
p02598,155,38,117,0,0,0,38,0,1,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02598/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02598/detail.csv
p02599,173,109,57,0,0,7,14,95,99,0,0.12844036697247707,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02599/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02599/detail.csv
p02616,113,3,100,10,0,0,3,0,1,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02616/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02616/detail.csv
p02623,139,2,137,0,0,0,0,2,2,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02623/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02623/detail.csv
p02626,121,23,78,20,0,0,0,23,31,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02626/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02626/detail.csv
p02635,127,0,28,96,3,0,0,0,74,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02635/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02635/detail.csv
p02636,113,10,1,102,0,0,0,10,110,1,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02636/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02636/detail.csv
p02638,99,0,0,99,0,0,0,0,78,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02638/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02638/detail.csv
p02641,121,0,88,32,0,1,0,0,13,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02641/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02641/detail.csv
p02652,99,2,2,95,0,0,0,2,84,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02652/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02652/detail.csv
p02653,113,6,0,107,0,0,0,6,105,0,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02653/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02653/detail.csv
p02659,139,3,71,65,0,0,2,1,11,0,0.6666666666666666,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02659/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02659/detail.csv
p02669,132,3,83,3,43,0,1,2,7,12,0.3333333333333333,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02669/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02669/detail.csv
p02670,166,2,1,149,14,0,0,2,121,45,0.0,high_fp,/data/bc/MyCatcher/outputs/tcases/cpp/p02670/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02670/detail.csv
p02682,95,10,57,28,0,0,6,4,7,0,0.6,mixed,/data/bc/MyCatcher/outputs/tcases/cpp/p02682/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02682/detail.csv
p02683,153,2,151,0,0,0,2,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02683/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02683/detail.csv
p02695,163,0,153,10,0,0,0,0,0,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02695/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02695/detail.csv
p02700,122,20,102,0,0,0,20,0,0,0,1.0,high_quality_tp,/data/bc/MyCatcher/outputs/tcases/cpp/p02700/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02700/detail.csv
p02702,106,0,103,3,0,0,0,0,0,0,,all_agree,/data/bc/MyCatcher/outputs/tcases/cpp/p02702/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02702/detail.csv
p02703,68,0,0,60,8,0,0,0,51,12,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02703/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02703/detail.csv
p02709,139,0,0,139,0,0,0,0,110,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02709/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02709/detail.csv
p02715,57,0,10,47,0,0,0,0,39,0,,no_detection,/data/bc/MyCatcher/outputs/tcases/cpp/p02715/report.txt,/data/bc/MyCatcher/outputs/tcases/cpp/p02715/detail.csv
