pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p02547,ok,177,10,10,11,11,166,0,11,0,1.0,0,0,outputs/tcases/cpp/p02547/summary.json,outputs/tcases/cpp/p02547/report.txt,outputs/tcases/cpp/p02547/detail.csv
p02550,ok,145,10,10,9,9,79,54,9,0,1.0,14,1,outputs/tcases/cpp/p02550/summary.json,outputs/tcases/cpp/p02550/report.txt,outputs/tcases/cpp/p02550/detail.csv
p02574,ok,124,10,10,101,101,23,0,101,0,1.0,0,0,outputs/tcases/cpp/p02574/summary.json,outputs/tcases/cpp/p02574/report.txt,outputs/tcases/cpp/p02574/detail.csv
p02575,ok,129,10,10,0,0,0,129,0,0,,98,0,outputs/tcases/cpp/p02575/summary.json,outputs/tcases/cpp/p02575/report.txt,outputs/tcases/cpp/p02575/detail.csv
p02577,ok,93,10,10,10,10,83,0,10,0,1.0,0,0,outputs/tcases/cpp/p02577/summary.json,outputs/tcases/cpp/p02577/report.txt,outputs/tcases/cpp/p02577/detail.csv
p02580,ok,148,10,10,3,3,0,145,0,3,0.0,13,0,outputs/tcases/cpp/p02580/summary.json,outputs/tcases/cpp/p02580/report.txt,outputs/tcases/cpp/p02580/detail.csv
p02581,ok,140,10,10,0,0,5,135,0,0,,63,0,outputs/tcases/cpp/p02581/summary.json,outputs/tcases/cpp/p02581/report.txt,outputs/tcases/cpp/p02581/detail.csv
p02583,ok,100,10,10,0,0,100,0,0,0,,0,0,outputs/tcases/cpp/p02583/summary.json,outputs/tcases/cpp/p02583/report.txt,outputs/tcases/cpp/p02583/detail.csv
p02585,ok,139,10,10,0,0,34,105,0,0,,4,0,outputs/tcases/cpp/p02585/summary.json,outputs/tcases/cpp/p02585/report.txt,outputs/tcases/cpp/p02585/detail.csv
p02589,ok,146,10,10,13,13,43,90,0,13,0.0,68,0,outputs/tcases/cpp/p02589/summary.json,outputs/tcases/cpp/p02589/report.txt,outputs/tcases/cpp/p02589/detail.csv
p02590,ok,159,10,10,9,9,144,0,0,9,0.0,11,3,outputs/tcases/cpp/p02590/summary.json,outputs/tcases/cpp/p02590/report.txt,outputs/tcases/cpp/p02590/detail.csv
p02594,ok,30,10,10,1,1,29,0,1,0,1.0,0,0,outputs/tcases/cpp/p02594/summary.json,outputs/tcases/cpp/p02594/report.txt,outputs/tcases/cpp/p02594/detail.csv
