pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p02547,177,11,166,11,0,0,0,0,0,166,0,0,0,11,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02547/report.txt
p02550,145,9,79,9,54,3,0,9,0,133,1,2,0,9,0,14,1,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02550/report.txt
p02574,124,101,23,101,0,0,0,101,0,23,0,0,0,101,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02574/report.txt
p02575,129,0,0,0,129,0,0,0,0,6,0,0,0,0,0,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02575/report.txt
p02577,93,10,83,10,0,0,0,10,0,83,0,0,0,10,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02577/report.txt
p02580,148,3,0,3,145,0,0,0,3,145,0,0,0,0,3,13,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02580/report.txt
p02581,140,0,5,0,135,0,0,0,0,140,0,0,0,0,0,63,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02581/report.txt
p02583,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02583/report.txt
p02585,139,0,34,0,105,0,0,0,0,139,0,0,0,0,0,4,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02585/report.txt
p02589,146,13,43,13,90,0,0,0,13,133,0,0,0,0,13,68,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02589/report.txt
p02590,159,9,144,9,0,1,5,0,9,144,3,1,2,0,9,11,3,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02590/report.txt
p02594,30,1,29,1,0,0,0,1,0,29,0,0,0,1,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02594/report.txt
p02598,155,38,117,38,0,0,0,38,0,117,0,0,0,38,0,1,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p02598/report.txt
