pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p02550,99,0,25,0,74,0,0,0,99,0,0,0,0,38,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02550/report.txt
p02577,99,18,81,18,0,0,18,0,81,0,0,18,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02577/report.txt
p02594,100,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02594/report.txt
p02659,100,0,34,0,66,0,0,0,100,0,0,0,0,9,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02659/report.txt
p02682,98,0,33,0,65,0,0,0,98,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02682/report.txt
p02702,95,0,10,0,85,0,0,0,95,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02702/report.txt
p02715,99,0,9,0,90,0,0,0,99,0,0,0,0,84,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02715/report.txt
p02766,99,10,89,10,0,0,10,0,89,0,0,10,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02766/report.txt
p02781,99,0,25,0,67,7,0,0,92,0,7,0,0,67,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02781/report.txt
p02812,100,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02812/report.txt
p02830,94,3,91,3,0,0,3,0,91,0,0,3,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02830/report.txt
p02860,98,0,98,0,0,0,0,0,98,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02860/report.txt
p02917,98,98,0,98,0,0,98,0,0,0,0,98,0,0,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02917/report.txt
p02969,94,0,94,0,0,0,0,0,94,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02969/report.txt
p02971,92,6,11,6,54,21,0,0,0,0,0,6,0,28,0,1.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02971/report.txt
p02974,100,3,57,3,40,0,0,3,97,0,0,0,3,42,0,0.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02974/report.txt
p02983,100,28,33,28,1,38,2,26,34,0,38,2,26,26,0,0.071429,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02983/report.txt
p02992,100,0,5,0,60,35,0,0,65,0,35,0,0,59,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p02992/report.txt
p03088,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03088/report.txt
p03213,100,32,12,32,56,0,0,32,68,0,0,0,32,88,0,0.0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03213/report.txt
p03241,90,0,17,0,73,0,0,0,90,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03241/report.txt
p03272,100,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03272/report.txt
p03284,98,4,18,4,76,0,3,1,94,0,0,3,1,36,0,0.75,/Users/bcccccc/PycharmProjects/MyCatcher/outputs/tcases/cpp/p03284/report.txt
