pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,fixed_found,fixed_no_majority,fixed_tp_count,fixed_fp_count,fixed_precision,fixed_agree,fixed_no_variant_output,fixed_put_fail,report
p02547,100,4,96,4,0,0,0,0,0,96,0,0,0,4,0,0,0,1.0,4,0,4,0,1.0,96,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02547/report.txt
p02550,100,0,54,0,46,0,0,0,0,100,0,0,0,0,0,34,0,0,0,71,0,0,0,29,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02550/report.txt
p02575,100,0,0,0,100,0,0,0,0,4,0,0,0,0,0,79,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02575/report.txt
p02577,100,16,84,16,0,0,0,16,0,84,0,0,0,16,0,0,0,1.0,16,0,16,0,1.0,84,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02577/report.txt
p02580,100,6,0,6,94,0,0,6,0,94,0,0,0,6,0,3,0,1.0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02580/report.txt
p02581,100,0,3,0,97,0,0,0,0,100,0,0,0,0,0,71,0,0,0,97,0,0,0,3,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02581/report.txt
p02583,100,1,99,1,0,0,0,1,0,99,0,0,0,1,0,0,0,1.0,1,0,1,0,1.0,99,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02583/report.txt
p02585,98,0,9,0,89,0,0,0,0,98,0,0,0,0,0,37,0,0,0,98,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02585/report.txt
p02590,96,0,25,0,6,65,0,0,0,31,0,65,0,0,0,0,0,0,0,6,0,0,0,25,65,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02590/report.txt
p02594,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02594/report.txt
p02598,100,2,98,2,0,0,0,1,1,98,0,0,0,1,1,1,0,0.5,2,0,1,1,0.5,98,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02598/report.txt
p02599,100,6,3,6,91,0,0,0,0,2,0,0,0,0,6,97,0,0.0,6,91,0,6,0.0,3,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02599/report.txt
p02616,100,0,8,0,82,10,0,0,0,90,0,10,0,0,0,57,0,0,0,82,0,0,0,8,10,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02616/report.txt
p02623,97,56,6,56,35,0,0,0,56,39,2,0,0,0,56,91,2,0.0,56,35,0,56,0.0,6,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02623/report.txt
p02635,100,0,3,0,7,90,0,0,0,10,0,90,0,0,0,6,0,0,0,7,0,0,0,3,90,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02635/report.txt
p02636,100,2,4,2,94,0,0,0,2,98,0,0,0,0,2,96,0,0.0,2,96,0,2,0.0,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02636/report.txt
p02638,96,0,0,0,96,0,0,0,0,96,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02638/report.txt
p02641,100,2,88,2,10,0,0,0,2,98,0,0,0,0,2,12,0,0.0,0,54,0,0,0,46,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02641/report.txt
p02652,100,2,3,2,95,0,0,0,2,98,0,0,0,0,2,96,0,0.0,0,99,0,0,0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02652/report.txt
p02653,100,88,0,88,12,0,0,0,88,12,0,0,0,0,88,98,0,0.0,73,27,0,73,0.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02653/report.txt
p02659,100,0,34,0,66,0,0,0,0,100,0,0,0,0,0,9,0,0,0,66,0,0,0,34,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02659/report.txt
p02669,99,8,28,8,56,7,0,0,1,13,7,1,0,1,7,62,7,0.125,8,56,1,7,0.125,28,7,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02669/report.txt
p02670,100,4,0,4,96,0,0,0,4,95,1,0,0,0,4,99,1,0.0,2,98,0,2,0.0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02670/report.txt
p02682,100,3,31,3,66,0,0,2,1,97,0,0,0,2,1,1,0,0.666667,3,66,2,1,0.666667,31,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02682/report.txt
p02683,100,7,93,7,0,0,0,7,0,93,0,0,0,7,0,0,0,1.0,7,0,7,0,1.0,93,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02683/report.txt
p02689,100,0,7,0,93,0,0,0,0,98,2,0,0,0,0,0,2,0,0,93,0,0,0,7,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02689/report.txt
p02695,100,5,95,5,0,0,0,5,0,95,0,0,0,5,0,0,0,1.0,2,14,2,0,1.0,84,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02695/report.txt
p02700,100,3,97,3,0,0,0,3,0,97,0,0,0,3,0,0,0,1.0,3,0,3,0,1.0,97,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02700/report.txt
p02702,99,0,99,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,85,0,0,0,14,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02702/report.txt
p02703,100,0,0,0,100,0,0,0,0,4,0,0,0,0,0,85,0,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02703/report.txt
p02709,92,0,0,0,92,0,0,0,0,92,0,0,0,0,0,91,0,0,0,92,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02709/report.txt
p02715,100,0,8,0,92,0,0,0,0,100,0,0,0,0,0,87,0,0,0,92,0,0,0,8,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02715/report.txt
p02716,99,3,5,3,91,0,0,1,2,96,0,0,0,1,2,93,0,0.333333,3,91,1,2,0.333333,5,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02716/report.txt
p02726,99,0,38,0,61,0,0,0,0,0,0,0,0,0,0,19,0,0,0,99,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02726/report.txt
p02728,100,0,1,0,99,0,0,0,0,1,0,0,0,0,0,92,7,0,0,100,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02728/report.txt
p02730,100,0,98,0,0,0,2,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0,0,98,0,2,/data/bc/MyCatcher/outputs/tcases/cpp/p02730/report.txt
p02732,98,97,0,97,0,0,1,0,0,0,0,0,0,0,97,98,0,0.0,97,0,0,97,0.0,0,0,1,/data/bc/MyCatcher/outputs/tcases/cpp/p02732/report.txt
p02733,100,1,3,1,96,0,0,0,1,99,0,0,0,0,1,72,0,0.0,0,98,0,0,0,2,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02733/report.txt
p02737,96,0,0,0,9,87,0,0,0,8,1,87,0,0,0,8,1,0,0,9,0,0,0,0,87,0,/data/bc/MyCatcher/outputs/tcases/cpp/p02737/report.txt
